data.programNumber,value
21.024,Profit organization
21.024,Other private institutions/organizations
21.024,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
97.026,Government - General
97.026,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
97.026,U.S. Territories and possessions (includes institutions of higher education and hospitals)
21.033,Profit organization
21.033,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
21.033,Other private institutions/organizations
14.252,Other private institutions/organizations
14.265,Other private institutions/organizations
16.832,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.832,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.832,Sponsored organization
16.832,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.832,Other public institution/organization
16.832,Federally Recognized lndian Tribal Governments
16.832,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.832,State
15.068,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.759,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.759,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.759,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.759,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.759,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.818,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.818,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.818,Other public institution/organization
16.818,Federally Recognized lndian Tribal Governments
16.818,Profit organization
16.818,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.818,State
16.831,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.831,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.831,Sponsored organization
16.831,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.831,Other public institution/organization
16.831,Federally Recognized lndian Tribal Governments
16.831,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.831,State
10.461,Anyone/general public
16.836,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.836,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
